date,addr,city,state,country
Sep 30,Hibernia Irish Tavern,Little Rock,AR,US
Sep 28,Outer Range Brewery,Frisco,CO,US
Sep 27,Tipsy Crow,San Diego,CA,US
Sep 22,Bar 20,Los Angeles,CA,US
Sep 18,The Bedroom Bar,Shoreditch,London,UK
Sep 17,The Actress & Bishop,Birmingham,London,UK
Sep 15,Centrala,Birmingham,London,UK
Sep 13,The Thirsty Scholar Acoustic Set,Manchester,London,UK
Sep 12,The Thirsty Scholar Open Mic Feature,Manchester,London,UK
Sep 7,Road Trip at The Workshop,Shoreditch,London,UK
Sep 6,The Alley Cat Club,Soho,London,UK
Sep 3,MAP Studio Cafe,Kentish Town,London,UK
Sep 2,The Bassment,Essex,London,UK
Sep 1,Shakey's Unsigned Sessions,Saint FM Radio,London,UK
